number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands,snapshot_time
312,toulouse,00312 - BASE DE LOISIRS SESQUIERES,Lac de Sesquières  - Devant l'entrée Wam Park,"{'latitude': 43.651836, 'longitude': 1.419854}",False,False,OPEN,2025-06-24T08:37:03Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 3, 'mechanicalBikes': 1, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 6, 'stands': 3, 'mechanicalBikes': 1, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
15,toulouse,00015 - PORT SAINT SAUVEUR - SEEL,FACE AU 5 PORT SAINT-SAUVEUR,"{'latitude': 43.596411, 'longitude': 1.456584}",False,False,OPEN,2025-06-24T08:38:08Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
247,toulouse,00247 - RTE DE LAUNAGUET - AUDIBERT,FACE 112 RTE DE LAUNAGUET,"{'latitude': 43.636446, 'longitude': 1.438984}",False,False,OPEN,2025-06-24T08:34:25Z,True,False,,"{'availabilities': {'bikes': 9, 'stands': 7, 'mechanicalBikes': 8, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}","{'availabilities': {'bikes': 9, 'stands': 7, 'mechanicalBikes': 8, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}",,2025-06-24T10:40:30.138289
134,toulouse,00134 - EGLISE BONNEFOY,8 ALLEE DE L'EGLISE BONNEFOY,"{'latitude': 43.619031, 'longitude': 1.456759}",True,False,OPEN,2025-06-24T08:32:18Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}","{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}",,2025-06-24T10:40:30.138289
76,toulouse,00076 - RECLUSANE - PLACE OLIVIER,"PLACE OLIVIER, DEVANT N°1 RUE  RECLUSANE","{'latitude': 43.598478, 'longitude': 1.434043}",False,False,OPEN,2025-06-24T08:37:50Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 8, 'mechanicalBikes': 4, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 16}","{'availabilities': {'bikes': 6, 'stands': 8, 'mechanicalBikes': 4, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 16}",,2025-06-24T10:40:30.138289
112,toulouse,00112 - BRANLY - PLACE RUSSELL,47 ALLEE BRANLY,"{'latitude': 43.585409, 'longitude': 1.453014}",False,False,OPEN,2025-06-24T08:30:07Z,True,False,,"{'availabilities': {'bikes': 3, 'stands': 17, 'mechanicalBikes': 2, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 3, 'stands': 17, 'mechanicalBikes': 2, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
193,toulouse,00193 - LOMBEZ - PETITE VITESSE,59 AV DE LOMBEZ,"{'latitude': 43.59487, 'longitude': 1.415088}",False,False,OPEN,2025-06-24T08:31:32Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 12, 'mechanicalBikes': 6, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 6, 'stands': 12, 'mechanicalBikes': 6, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
190,toulouse,00190 - ESPAGNE - OUSTALOUS,39 RTE D'ESPAGNE,"{'latitude': 43.577437, 'longitude': 1.423953}",False,False,OPEN,2025-06-24T08:38:49Z,True,False,,"{'availabilities': {'bikes': 8, 'stands': 7, 'mechanicalBikes': 6, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 8, 'stands': 7, 'mechanicalBikes': 6, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
241,toulouse,00241 - ESPAGNE - CHARPENTIER,57 RTE D'ESPAGNE,"{'latitude': 43.575101, 'longitude': 1.424227}",False,False,OPEN,2025-06-24T08:37:40Z,True,False,,"{'availabilities': {'bikes': 11, 'stands': 7, 'mechanicalBikes': 8, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 11, 'stands': 7, 'mechanicalBikes': 8, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
253,toulouse,00253 - ÉTATS-UNIS - CHARLAS,FACE 74 AV DES ETATS-UNIS (GARAGE RENAULT TOULOUSE),"{'latitude': 43.630519, 'longitude': 1.43234}",False,False,OPEN,2025-06-24T08:31:06Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 2, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 2, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
